2025-06-24 00:49:28,991 - __main__ - DEBUG - Логування налаштовано: DEBUG
2025-06-24 00:49:28,991 - __main__ - INFO - Логування налаштовано: INFO
2025-06-24 00:49:28,991 - __main__ - WARNING - Логування налаштовано: WARNING
2025-06-24 00:49:28,991 - __main__ - ERROR - Логування налаштовано: ERROR
2025-06-24 00:49:28,991 - __main__ - CRITICAL - Логування налаштовано: CRITICAL
2025-06-24 01:05:37,170 - __main__ - DEBUG - Логування налаштовано: DEBUG
2025-06-24 01:05:37,170 - __main__ - INFO - Логування налаштовано: INFO
2025-06-24 01:05:37,171 - __main__ - WARNING - Логування налаштовано: WARNING
2025-06-24 01:05:37,171 - __main__ - ERROR - Логування налаштовано: ERROR
2025-06-24 01:05:37,171 - __main__ - CRITICAL - Логування налаштовано: CRITICAL
2025-06-24 01:05:38,751 - __main__ - INFO - Гра запущена. Відображення головного меню.
2025-06-24 01:05:40,429 - __main__ - INFO - Завантажено рівень 1.
2025-06-24 01:05:44,210 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:44,227 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:44,246 - __main__ - DEBUG - FPS: 250.00, Frame Time: 4 ms
2025-06-24 01:05:44,262 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:44,278 - __main__ - DEBUG - FPS: 500.00, Frame Time: 2 ms
2025-06-24 01:05:44,295 - __main__ - DEBUG - FPS: 500.00, Frame Time: 2 ms
2025-06-24 01:05:44,312 - __main__ - DEBUG - FPS: 500.00, Frame Time: 2 ms
2025-06-24 01:05:44,330 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:44,346 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:44,362 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:44,378 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:44,395 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:44,411 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:44,428 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:44,445 - __main__ - DEBUG - FPS: 250.00, Frame Time: 4 ms
2025-06-24 01:05:44,460 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:44,476 - __main__ - DEBUG - FPS: 500.00, Frame Time: 2 ms
